	summarized	lineages	abundances	resid	coverage
SRR25665961.tsv	[('XBB* (XBB.X)', 0.5116711786615771), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.32145257124612486), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16388832251732638)]	XBB.1.22.2 XBB.1.16 XBB.1.5.52 XBB.1.5.67 XBB.1.5.14 XBB.1.5.55 XBB.1.5.26 XBB.1.5.75 XBB.1.5.3 XBB.1.5.18 XBB.1.5.2 XBB.1.5.30 XBB.1.5.28 XBB.1.5.12 XBB.1.5.40 XBB.1.5.11 XBB.1.5 XBB.1.5.59 XBB.1.5.66 XBB.1.5.63 XBB.1.5.21 XBB.1.5.9 XBB.1.5.56 XBB.1.5.25 XBB.1.5.78 XBB.1.5.49 XBB.1.5.81 GC.2 XBB.1.5.77 GB.2 XBB.1.16.5	0.51167118 0.32042693 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00600947 0.00163265 0.00102564	6.045309156962272	52.168678727886835
SRR25657258.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.3642680420079241), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.35370699972429986), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.14777627695204656), ('XBB* (XBB.X)', 0.12585408639561757)]	EG.5.1 XBB.1.22 FD.1 XBB.1.5.15 XBB.1.5.72 XBB.1.16 XBB.1.9 EG.5 EG.5.1.1 XBB.1.16.6 XBB.1.14 XBB.1.9.1 FL.3 FL.13 XBB.1.17 XBB.1.23	0.13447000 0.11987509 0.11878800 0.11777100 0.11714800 0.09318850 0.08389525 0.07819720 0.06250000 0.05458778 0.00344369 0.00173520 0.00173520 0.00173520 0.00139082 0.00114448	4.355408414503378	57.235060027421994
SRR25645474.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.8631257504360789), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.08012433972468741), ('XBB* (XBB.X)', 0.00941103653757358), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.004614424710389092), ('Other', 0.0011165862797857412)]	FL.10.1 XBB.1.5.45 FL.10 XBB.1.5.35 XBB.1.5.33 FT.1 XBB.1.37 XBB.1.5.52 XBB.1.5.57 XBB.1.16.6 XBB.1.13 XBB.1.5.36 FY.2 XBB.1.16.7 XBB.1.5.75 XBB.1.16.4 XBB.1.19.1 XBB.1.45 XBB.1.5.83 XBB.1.5.29 XBB.1.5.23 XCG XBB.1.37.1 XBB.1.5.87 XBB.1.5.80 FL.2.2 FL.9	0.82762492 0.05759397 0.03338559 0.00421818 0.00324265 0.00258686 0.00246849 0.00199867 0.00191906 0.00187555 0.00185753 0.00157085 0.00150441 0.00149031 0.00138841 0.00124857 0.00124834 0.00122933 0.00117153 0.00115042 0.00113585 0.00111659 0.00110294 0.00108038 0.00106752 0.00105816 0.00105708	18.409665417012672	97.43503996254556
SRR25657263.tsv	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.6446936419935779), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.34138046729861454), ('XBB* (XBB.X)', 0.009101906000701862)]	XBB.1.16 EG.5 XBB.1.16.3 XBB.1.16.6 XBB.1.9.1 XBB.1.22 XBB.1.11.1 EG.5.1 XBB.1.16.10	0.35877479 0.22826500 0.15265624 0.13179673 0.11055508 0.00614898 0.00295293 0.00256039 0.00146588	8.042786545856917	77.00899575293448
SRR25657433.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.44722186534903297), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.3092584586312626), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.2390935185359906)]	FL.2.2 XBB.1.16.11 GV.1 FL.1.5.1 XBB.1.16.3 XBB.1.16 XBB.1.16.10	0.31098687 0.28192400 0.23909352 0.13623500 0.01570001 0.01009500 0.00153945	9.653394365109435	86.82740862120858
SRR25657349.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.3681789569584899), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.313389870712298), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.1957230865276545), ('XBB* (XBB.X)', 0.06442113471286905), ('XBB.2.3* [Omicron (XBB.2.3.X)]', 0.04202844237872432)]	XBB.1.5.70 XBB.1.16.1 XBB.1.16.2 EG.5.1 XBB.2.4 GK.1 XBB.1.5.1 XBB.1.5.26 EG.2 XBB.1.9.2 GE.1 GJ.1 XBB.1.5.47 XBB.1.42 XBB.1.16.10	0.19318627 0.15870256 0.15356202 0.12477216 0.06128024 0.06052870 0.05634790 0.04231331 0.04062774 0.03032319 0.02493355 0.01709489 0.01580278 0.00314090 0.00112529	11.942403798418129	96.65585392769957
SRR25665904.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.33945850926823934), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.25156997802313075), ('XBB* (XBB.X)', 0.24935088995924398), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.15729001071678134)]	FK.1 XBB.1.9 XBB.1.45 XBB.1.7 XBB.1.28.1 XBB.1.18 XBB.1.28 XBB.1.13 XBB.1.43 XBB.1.5.77 XBB.1.5.20 XBB.1.5 XBB.1.5.14 XBB.1.5.55 XBB.1.5.75 XBB.1.5.33 XBB.1.5.18 XBB.1.5.30 XBB.1.5.1 XBB.1.5.12 XBB.1.5.86 XBB.1.5.36 XBB.1.5.60 XBB.1.5.66 XBB.1.5.63 XBB.1.5.37 XBB.1.5.32 XBB.1.5.56 XBB.1.5.39 XBB.1.5.84 XBB.1.5.83 XBB.1.5.48 XBB.1.5.65 XBB.1.5.78 XBB.1.5.52 FK.1.1 CH.1.1.11 CH.1.1.19 CH.1.1.23 CH.1.1.12 XBB.8	0.22643628 0.15729001 0.03540808 0.03540808 0.03540808 0.03540808 0.03540808 0.03540808 0.03540808 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01305610 0.01097894 0.00353869 0.00353869 0.00353869 0.00353869 0.00149431	8.708264569717624	56.522756914022004
SRR25665902.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9996424831702242)]	XBB.1.5.66	0.99964248	6.621260418326036	48.15904758719861
SRR25657511.tsv	[('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.9982368288803772)]	EG.5.1 EG.5.2 EG.5.1.1	0.51515783 0.27099000 0.21208900	11.870854766085651	81.17245761294853
SRR25665915.tsv	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.4794139997714135), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.3673303881651514), ('XBB.1.9* [Omicron (XBB.1.9.X)]', 0.11176111685130337), ('XBB* (XBB.X)', 0.03733366514481789)]	XBB.1.16 XBB.1.16.7 XBB.1.16.9 XBB.1.16.3 XBB.1.16.1 XBB.1.16.2 XBB.1.16.6 XBB.1.16.11 XBB.1.5.66 XBB.1.5.48 XBB.1.5.19 XBB.1.5.65 XBB.1.5.78 XBB.1.5.49 XBB.1.5.20 XBB.1.5.76 XBB.1.5.81 FG.3 XBB.1.5.84 FG.2 XBB.1.5.43 XBB.1.5.23 XBB.1.5.87 XBB.1.5.83 XBB.1.5.61 XBB.1.5.25 XBB.1.5.54 XBB.1.5.16 XBB.1.5.4 XBB.1.5.69 EM.1 XBB.1.5.34 XBB.1.5.10 XBB.1.5.21 XBB.1.5.6 XBB.1.5.15 XBB.1.5.9 XBB.1.5.17 XBB.1.5.56 XBB.1.5.52 XBB.1.5.39 XBB.1.5.59 FD.4 EU.1 XBB.1.5.26 FH.1 FT.1 XBB.1.5.60 XBB.1.5.3 XBB.1.5.33 XBB.1.5.75 XBB.1.5.55 GC.2 EU.1.1.1 EU.1.1.2 XBB.1.5.31 XBB.1.5.7 XBB.1.5 XBB.1.41 FD.3 FD.2 XBB.1.5.29 EU.1.1 GC.1 XBB.1.5.68 XBB.1.5.5 XBB.1.5.77 XBB.1.5.27 XBB.1.5.67 XBB.1.5.11 XBB.1.5.40 XBB.1.5.12 XBB.1.5.28 XBB.1.5.30 XBB.1.5.2 XBB.1.5.18 XBB.1.5.63 XBB.1.22.1 FL.1.4 FY.1 FL.5 FL.10.1 FL.1.2 FL.1.1 XBB.1.9.7 FL.13.1 FL.3.1 FL.2.1 FL.1 FL.16 FL.14 FL.3 FY.5 FL.10 FL.2 FL.12 FL.7 FL.8 FL.13 FY.1.1 XBB.1.9.1 FL.1.6 FY.4 XBB.1.22	0.06973666 0.05852533 0.05852533 0.05852533 0.05852533 0.05852533 0.05852533 0.05852533 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00540192 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196 0.00532196	0.8870162115508335	26.850148814500216
