,collection_date,collection_time,geo_loc_name,isolation_source,collection_site_id,project_name,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_flow,instantaneous_flow,ww_population,ww_sample_matrix,ww_sample_type,collection_volume,ww_sample_duration,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,concentration_method,extraction_method,extraction_control,ww_surv_target_1,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,sequenced_by,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,sequence_submitter_contact_email,experiment_id,SRA_id,raw_sequence_data_processing_method,sample_name,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_processing_protocol,ww_surv_target_2_protocol
SRR25764406,2023-08-18,8:15,USA: Washington,wastewater,WA0029378,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,0.112,See ww_flow,#N/A,raw wastewater,composite,50 mL,Not Collected,Not Collected,Not Collected,#N/A,Not Collected,Not Collected,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,5874388,Copies/L,N gene (N1),SARS-CoV-2,6393705,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764406,SRX21487059,,,,,,,,,,,,
SRR25764400,2023-08-18,7:30,USA: Washington,wastewater,WA0039624,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,16.4,See ww_flow,295855,raw wastewater,composite,50 mL,3:30,N/A,Not Collected,5,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,77607964,Copies/L,N gene (N1),SARS-CoV-2,75225010,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764400,SRX21487065,,,,,,,,,,,,
SRR25764405,2023-08-18,8:30,USA: Washington,wastewater,WA0020567,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,1.64,See ww_flow,24180,raw wastewater,composite,50 mL,2:30,7.9,Not Collected,0,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,6643723,Copies/L,N gene (N1),SARS-CoV-2,6111367,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764405,SRX21487060,,,,,,,,,,,,
SRR25764404,2023-08-18,8:48,USA: Washington,wastewater,WA0093317,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,7.1,See ww_flow,120000,raw wastewater,composite,50 mL,25,4,Not Collected,10,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,4072560,Copies/L,N gene (N1),SARS-CoV-2,4183229,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764404,SRX21487061,,,,,,,,,,,,
SRR25764403,2023-08-18,7:00,USA: Washington,wastewater,WA0044962,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,5.212,See ww_flow,73000,raw wastewater,composite,50 mL,Not Collected,8,7.28,9,431,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,11357422,Copies/L,N gene (N1),SARS-CoV-2,9144147,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764403,SRX21487062,,,,,,,,,,,,
SRR25764402,2023-08-18,0:00,USA: Washington,wastewater,WA0024473,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,26.49,See ww_flow,225000,raw wastewater,composite,50 mL,7:45,15.7,7.48,1.4,207,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,2358487,Copies/L,N gene (N1),SARS-CoV-2,2377399,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764402,SRX21487063,,,,,,,,,,,,
SRR25764401,2023-08-18,6:54,USA: Washington,wastewater,WA0044652,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,Not Collected,See ww_flow,35812,raw wastewater,composite,50 mL,5.5,5,Not Collected,0,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,10633415,Copies/L,N gene (N1),SARS-CoV-2,9768357,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764401,SRX21487064,,,,,,,,,,,,
SRR25764393,2023-08-17,5:57,USA: Washington,wastewater,WA0037168,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,3.2,See ww_flow,43300,raw wastewater,composite,50 mL,Not Collected,8,Not Collected,20,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,13370744,Copies/L,N gene (N1),SARS-CoV-2,13321977,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,A,,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764393,SRX21487072,,,,,,,,,,,,
SRR25764392,2023-08-17,7:35,USA: Washington,wastewater,WA0022578,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,1.26,See ww_flow,16150,raw wastewater,composite,50 mL,Not Collected,2.5,Not Collected,20,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,7415899,Copies/L,N gene (N1),SARS-CoV-2,7410335,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764392,SRX21487073,,,,,,,,,,,,
SRR25764399,2023-08-17,7:30,USA: Washington,wastewater,WA0024341,CDC NWSS,Washington State Department of Health,public health surveillance community-level,wastewater treatment plant,2.428,See ww_flow,21761,raw wastewater,composite,50 mL,8:14,2,Not Collected,0.8,Not Collected,No,Ceres Nanotrap,MagMAX Viral/Pathogen Nucleic Acid Isolation Kit,OC43 Recovery Control,SARS-CoV-2,yes,ddPCR detection of SARS-CoV-2 using the BioRad PREvalence Kit on the BioRad QXOne,1276655,Copies/L,N gene (N1),SARS-CoV-2,1277298,Copies/L,N gene (N2),yes,Community Surveillance,Washington State Department of Health,SARS-CoV-2: wastewater surveillance,QIAseq Direct SARS-CoV-2 kit,QIAseq Direct SARS-CoV-2 primer panel,175-275,GalaxyTrakr SSQuAWK,4.0.2,B,Low_Cov,SRA human read removal tool,micromolecularlab@doh.wa.gov,SRR25764399,SRX21487066,,,,,,,,,,,,
