,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,geo_loc_name,isolation_source,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_population,ww_surv_jurisdiction,ww_sample_matrix,ww_sample_type,ww_sample_duration,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,sequenced_by,BioSampleModel,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,isolate,host,env_broad_scale,env_local_scale,env_medium,lat_lon,source_uvig,virus_enrich_appr,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25726336,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726336,SRX21450458,USA: Puerto Rico,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,328816.0,pr,raw wastewater,grab,0,9429.AL,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,h2iwBxPxHwEd
SRR25726339,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726339,SRX21450455,USA: Puerto Rico,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,24254.0,pr,raw wastewater,grab,0,9429.AG,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,N8vf4AXJuXED
SRR25726303,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726303,SRX21450491,USA: Maine,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,21000.0,me,raw wastewater,grab,0,10908.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Ba5kqmzE9e5E
SRR25726416,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726416,SRX21450378,USA: Rhode Island,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,11000.0,ri,raw wastewater,grab,0,4687.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,HibzTsFeNi4e
SRR25726448,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726448,SRX21450346,USA: Vermont,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,7500.0,vt,raw wastewater,grab,0,11028.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Qw6JCYSEuGC6
SRR25726310,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726310,SRX21450484,USA: Texas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,105158.0,tx,raw wastewater,grab,0,10169.AZ,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,862nkJB5JGVH
SRR25726304,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726304,SRX21450490,USA: Texas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,9079.0,tx,raw wastewater,grab,0,10169.BA,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,duSfdPvPadb9
SRR25726293,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726293,SRX21450501,USA: Puerto Rico,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,514464.0,pr,raw wastewater,grab,0,9429.AI,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,3bq8BKBsA4sm
SRR25726237,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726237,SRX21450557,USA: Arkansas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,28500.0,ar,post grit removal,grab,0,11108.F,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Ktae9mCi7bhd
SRR25726292,,,,,,,,,,2023-08-15,,,,,,,,,,,,,,,,,SRR25726292,SRX21450502,USA: New Mexico,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,13179.0,nm,raw wastewater,grab,0,7732.J,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,LkWm8WZgBrJK
