,collection_date,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,experiment_id,SRA_id,purpose_of_ww_sampling,purpose_of_ww_sequencing,sequenced_by,ww_industrial_effluent_percent,ww_population_source,ww_pre_treatment,ww_primary_sludge_retention_time,ww_processing_protocol,ww_sample_site,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present
SRR23882261,2022-12-09,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,113,SARS-CoV-2: wastewater surveillance,SRR23882261,SRX19694141,,,,,,,,,,,,,,,,,,
SRR23882262,2022-12-08,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,112,SARS-CoV-2: wastewater surveillance,SRR23882262,SRX19694140,,,,,,,,,,,,,,,,,,
SRR23882263,2022-12-07,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,111,SARS-CoV-2: wastewater surveillance,SRR23882263,SRX19694139,,,,,,,,,,,,,,,,,,
SRR23882265,2022-12-06,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,110,SARS-CoV-2: wastewater surveillance,SRR23882265,SRX19694137,,,,,,,,,,,,,,,,,,
SRR23882266,2022-12-05,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,109,SARS-CoV-2: wastewater surveillance,SRR23882266,SRX19694136,,,,,,,,,,,,,,,,,,
SRR23882267,2022-12-02,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,108,SARS-CoV-2: wastewater surveillance,SRR23882267,SRX19694135,,,,,,,,,,,,,,,,,,
SRR23882268,2022-12-01,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,107,SARS-CoV-2: wastewater surveillance,SRR23882268,SRX19694134,,,,,,,,,,,,,,,,,,
SRR23882269,2022-11-30,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,106,SARS-CoV-2: wastewater surveillance,SRR23882269,SRX19694133,,,,,,,,,,,,,,,,,,
SRR23882270,2022-11-28,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,105,SARS-CoV-2: wastewater surveillance,SRR23882270,SRX19694132,,,,,,,,,,,,,,,,,,
SRR23882271,2022-11-24,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,104,SARS-CoV-2: wastewater surveillance,SRR23882271,SRX19694131,,,,,,,,,,,,,,,,,,
SRR23882272,2022-11-23,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,103,SARS-CoV-2: wastewater surveillance,SRR23882272,SRX19694130,,,,,,,,,,,,,,,,,,
SRR23882273,2022-11-22,Australia:Queensland,wastewater,NA,0,raw wastewater,grab,SARS-CoV-2,yes,102,SARS-CoV-2: wastewater surveillance,SRR23882273,SRX19694129,,,,,,,,,,,,,,,,,,
