,collection_date,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,BioSampleModel,experiment_id,SRA_id,sample,collected_by,fasta_file
SRR23703014,2022-01-31,"South Africa: CENTRAL WASTEWATER TREATMENT WORKS, ETHEKWINI, Kwa-Zulu Natal",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703014,SRX19564642,22-33,NICD,NC_045512_Hu-1.fasta
SRR23703015,2022-01-31,"South Africa: GOUDKOPPIES WWTW, Johannesburg MM, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703015,SRX19564641,22-32,NICD,NC_045512_Hu-1.fasta
SRR23703016,2022-01-31,"South Africa: ERWAT VLAKPLAATS WWTW, Ekurhuleni, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703016,SRX19564640,22-31,NICD,NC_045512_Hu-1.fasta
SRR23703019,2022-01-11,"South Africa: Daspoort Wastewater, Tshwane , Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703019,SRX19564637,22-12,NICD,NC_045512_Hu-1.fasta
SRR23703020,2022-01-11,"South Africa: Hartebeesfontein Waterworks, Ekurhuleni, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703020,SRX19564636,22-11,NICD,NC_045512_Hu-1.fasta
SRR23703021,2022-01-11,"South Africa: Rooiwal Wastewater Treatment Works, Tshwane , Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703021,SRX19564635,22-10,NICD,NC_045512_Hu-1.fasta
SRR23703009,2022-01-10,"South Africa: CENTRAL WASTEWATER TREATMENT WORKS, ETHEKWINI, Kwa-Zulu Natal",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703009,SRX19564647,22-8,NICD,NC_045512_Hu-1.fasta
SRR23703010,2022-01-10,"South Africa: ERWAT VLAKPLAATS WWTW, Ekurhuleni, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703010,SRX19564646,22-7,NICD,NC_045512_Hu-1.fasta
SRR23703008,2022-01-10,"South Africa: Northern Wastewater, ETHEKWINI, Kwa-Zulu Natal",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703008,SRX19564648,22-9,NICD,NC_045512_Hu-1.fasta
SRR23703011,2022-01-09,"South Africa: GOUDKOPPIES WWTW, Johannesburg MM, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703011,SRX19564645,22-6,NICD,NC_045512_Hu-1.fasta
SRR23703012,2022-01-04,"South Africa: Bloemspruit Wastewater, MANGAUNG, Free State",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703012,SRX19564644,22-5,NICD,NC_045512_Hu-1.fasta
SRR23703017,2022-01-04,"South Africa: Rooiwal Wastewater Treatment Works, Tshwane , Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703017,SRX19564639,22-3,NICD,NC_045512_Hu-1.fasta
SRR23703023,2022-01-04,"South Africa: Hartebeesfontein Waterworks, Ekurhuleni, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703023,SRX19564633,22-006,NICD,NC_045512_Hu-1.fasta
SRR23703024,2022-01-04,"South Africa: Daspoort Wastewater, Tshwane , Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703024,SRX19564632,22-005,NICD,NC_045512_Hu-1.fasta
SRR23703013,2022-01-04,"South Africa: Sterkwater Wastewater, MANGAUNG, Free State",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703013,SRX19564643,22-4,NICD,NC_045512_Hu-1.fasta
SRR23703022,2022-01-03,"South Africa: ERWAT VLAKPLAATS WWTW, Ekurhuleni, Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703022,SRX19564634,22-1,NICD,NC_045512_Hu-1.fasta
SRR23703028,2021-12-21,"South Africa: Sterkwater Wastewater, MANGAUNG, Free State",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703028,SRX19564628,21-661,NICD,NC_045512_Hu-1.fasta
SRR23703027,2021-12-21,"South Africa: Bloemspruit Wastewater, MANGAUNG, Free State",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23703027,SRX19564629,21-662,NICD,NC_045512_Hu-1.fasta
SRR23702841,2021-12-21,"South Africa: Rooiwal Wastewater Treatment Works, Tshwane , Gauteng",urban wastewater treatment facility,NA,0,raw wastewater,grab,SARS-CoV-2,yes,SARS-CoV-2: wastewater surveillance,SRR23702841,SRX19564504,21-304,NICD,NC_045512_Hu-1.fasta
