,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id
ERR9862094,2022-06-20,2022-06-20,SAMEA110149614,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T20:18:13Z,2022-06-20T20:18:13Z,public,12_2021_06_09,2021-06-09,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_06_09,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-06-25,ERR9862094,ERX9407172
ERR9862814,2022-06-20,2022-06-20,SAMEA110150333,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,17_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862814,ERX9407892
ERR9862796,2022-06-20,2022-06-20,SAMEA110150315,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,25_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862796,ERX9407874
ERR9862837,2022-06-20,2022-06-20,SAMEA110150356,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,05_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862837,ERX9407915
ERR9862822,2022-06-20,2022-06-20,SAMEA110150341,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862822,ERX9407900
ERR9862830,2022-06-20,2022-06-20,SAMEA110150349,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,10_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862830,ERX9407908
ERR9862806,2022-06-20,2022-06-20,SAMEA110150325,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_05_11,2021-05-11,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_11,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862806,ERX9407884
ERR9862812,2022-06-20,2022-06-20,SAMEA110150331,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,12_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862812,ERX9407890
ERR9862794,2022-06-20,2022-06-20,SAMEA110150313,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,19_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862794,ERX9407872
ERR9862804,2022-06-20,2022-06-20,SAMEA110150323,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,17_2021_05_10,2021-05-10,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_05_10,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-20,ERR9862804,ERX9407882
